restaurant,avg_calories,avg_cal_fat,avg_total_fat,avg_sat_fat,avg_trans_fat,avg_cholesterol,avg_sodium,avg_total_carb,avg_fiber,avg_sugar,avg_protein
Mcdonalds,640.35,285.61,31.81,8.29,0.46,109.74,1437.89,48.79,3.23,11.07,40.30
Chick Fil-A,384.44,145.37,16.15,4.11,0.04,79.07,1151.48,28.63,2.30,4.15,31.70
Sonic,631.70,338.30,37.64,11.42,0.93,86.98,1350.75,47.21,2.66,6.53,29.19
Arbys,532.73,237.84,26.98,7.97,0.42,70.45,1515.27,44.87,2.71,7.56,29.25
Burger King,599.71,328.16,36.19,10.91,0.83,97.46,1211.59,38.99,2.30,8.09,30.01
Dairy Queen,520.24,260.48,28.86,10.44,0.68,71.55,1181.79,38.69,2.83,6.36,24.83
Subway,503.02,165.10,18.48,6.20,0.22,61.30,1272.97,54.72,6.56,10.09,30.31
Taco Bell,443.65,188.00,20.90,6.59,0.26,39.04,1013.91,46.63,5.71,3.70,17.42
